,title,genre,rating,runtime,age_rating,years
37,Raised by Wolves,Comedy,8.2,30 min,N/A,(2013–2016)
38,Degrassi: Next Class,"Drama, Romance",6.9,30 min,TV-PG,(2016–2017)
39,The Gift,"Drama, Fantasy, Mystery",7.4,40 min,TV-MA,(2019– )
40,Dororo,"Animation, Action, Adventure",8.4,30 min,Not Rated,(2019)
41,The Vow,"Documentary, Crime",7.0,60 min,TV-MA,(2020– )
42,Central Park,"Animation, Comedy, Musical",6.8,25 min,TV-14,(2020– )
43,That's So Raven,"Comedy, Family, Fantasy",6.6,30 min,TV-G,(2003–2007)
44,Family Affair,"Comedy, Family",6.9,30 min,TV-G,(1966–1971)
45,Tales of Wells Fargo,Western,7.9,60 min,TV-14,(1957–1962)
46,The Mist,"Drama, Horror, Sci-Fi",5.4,42 min,TV-14,(2017)
47,"Harvey Birdman, Attorney at Law","Animation, Comedy, Sci-Fi",8.0,15 min,TV-14,(2000–2007)
48,The New Batman Adventures,"Animation, Action, Adventure",8.5,30 min,TV-PG,(1997–1999)
49,Blackadder,Comedy,8.1,195 min,TV-PG,(1982–1983)
50,Being Human,"Drama, Fantasy, Horror",7.5,44 min,TV-14,(2011–2014)
51,In Living Color,Comedy,8.1,30 min,TV-14,(1990–2006)
52,Kickin' It,"Action, Comedy, Family",6.4,22 min,TV-Y7,(2011–2015)
53,The Suite Life on Deck,"Action, Adventure, Comedy",6.3,30 min,TV-G,(2008–2011)
54,Rush,"Action, Drama",7.7,44 min,TV-14,(2014)
55,Now Apocalypse,Comedy,6.2,30 min,TV-MA,(2019)
56,Deadliest Catch,"Documentary, Adventure, Reality-TV",7.8,55 min,TV-PG,(2005– )
57,Amazing Stories,"Action, Adventure, Drama",6.2,52 min,TV-PG,(2020– )
58,Bitten,"Drama, Fantasy, Horror",7.0,44 min,TV-MA,(2014–2016)
59,Doctor Doctor,"Comedy, Drama",7.9,50 min,Not Rated,(2016– )
60,Kevin Can Wait,Comedy,5.6,30 min,TV-PG,(2016–2018)
61,One Life to Live,"Drama, Romance",6.8,60 min,TV-PG,(1968–2013)
62,The Sandhamn Murders,"Crime, Drama, Romance",6.9,45 min,N/A,(2010– )
63,Rapunzel's Tangled Adventure,"Animation, Action, Adventure",7.7,21 min,TV-Y7,(2017–2020)
64,I Am the Night,"Crime, Drama, Mystery",7.0,60 min,TV-MA,(2019)
65,How to Sell Drugs Online (Fast),"Comedy, Crime, Drama",7.9,30 min,N/A,(2019– )
66,Primeval,"Action, Adventure, Drama",7.3,60 min,TV-14,(2007–2011)
67,Silk Stalkings,"Crime, Drama, Mystery",6.6,60 min,TV-14,(1991–1999)
68,Dominion,"Action, Drama, Fantasy",6.8,90 min,TV-MA,(2014–2015)
69,The Next Step,"Drama, Family, Romance",6.1,30 min,TV-G,(2013– )
70,Black Books,Comedy,8.5,25 min,TV-PG,(2000–2004)
71,Bless This Mess,Comedy,6.9,30 min,TV-PG,(2019–2020)
72,Wisting,"Crime, Drama",7.4,60 min,TV-14,(2019– )
73,The Untamed,"Action, Adventure, Comedy",8.9,50 min,N/A,(2019)
74,Louie,"Comedy, Drama",8.5,22 min,TV-MA,(2010–2015)
75,The Twelve,"Drama, Thriller",7.5,50 min,TV-MA,(2019– )
76,Psycho-Pass,"Animation, Action, Crime",8.2,25 min,TV-MA,(2012– )
77,4 Blocks,"Crime, Drama",8.2,60 min,TV-PG,(2017–2019)
78,K.C. Undercover,"Action, Comedy, Drama",6.2,30 min,TV-Y7,(2015–2018)
79,Grace Under Fire,"Comedy, Romance",6.4,30 min,TV-PG,(1993–1998)
80,Disjointed,Comedy,6.8,30 min,TV-MA,(2017–2018)
81,Perfect Strangers,"Comedy, Family",7.2,30 min,TV-PG,(1986–1993)
82,Lizzie McGuire,"Comedy, Drama, Family",6.6,30 min,TV-G,(2001–2004)
83,Blood Drive,"Action, Adventure, Comedy",7.3,60 min,TV-MA,(2017)
84,Dorohedoro,"Animation, Action, Comedy",8.2,25 min,TV-MA,(2020– )
85,Aqua Teen Hunger Force,"Animation, Comedy",7.6,15 min,TV-14,(2000–2015)
86,Last Chance U,"Documentary, Sport",8.4,55 min,TV-MA,(2016–2020)
87,Saving Hope,"Drama, Fantasy",7.5,43 min,TV-14,(2012–2017)
88,Tabula Rasa,"Drama, Thriller",8.1,60 min,TV-MA,(2017)
89,Goosebumps,"Family, Fantasy, Horror",7.7,22 min,TV-Y7,(1995–1998)
90,The Passage,"Action, Adventure, Drama",7.4,60 min,TV-14,(2019)
91,Wipeout,"Comedy, Family, Game-Show",6.6,42 min,TV-PG,(2008–2014)
92,Emerald City,"Adventure, Drama, Fantasy",7.2,60 min,TV-14,(2016–2017)
93,Emergence,"Drama, Mystery, Sci-Fi",7.2,43 min,TV-14,(2019–2020)
94,Atlantis,"Adventure, Drama, Fantasy",6.6,45 min,TV-PG,(2013–2015)
95,Whose Line Is It Anyway?,"Comedy, Game-Show",8.4,22 min,Not Rated,(2013– )
96,The Batman,"Animation, Action, Adventure",7.3,30 min,TV-Y7,(2004–2008)
97,As Time Goes By,"Comedy, Romance",8.2,60 min,TV-PG,(1992–2005)
98,Salute Your Shorts,"Comedy, Drama, Family",8.2,30 min,TV-G,(1991–1993)
99,"Welcome Back, Kotter",Comedy,7.0,30 min,TV-PG,(1975–1979)
100,The Bob Newhart Show,Comedy,8.1,30 min,TV-G,(1972–1978)
101,Deep State,"Action, Drama, Thriller",7.1,45 min,TV-MA,(2018– )
102,The Path,Drama,7.3,60 min,TV-MA,(2016–2018)
103,Instinct,"Crime, Drama, Mystery",6.6,60 min,TV-14,(2018–2019)
104,Filthy Rich,Drama,6.1,N/A,TV-14,(2020)
105,Faking It,"Comedy, Drama, Romance",7.4,21 min,TV-14,(2014–2016)
106,Hache,"Crime, Drama, Thriller",6.4,50 min,TV-MA,(2019– )
107,Monty Python's Flying Circus,Comedy,8.8,30 min,TV-14,(1969–1974)
108,Highschool of the Dead,"Animation, Action, Drama",7.2,24 min,TV-MA,(2010)
109,Pretty Little Liars: The Perfectionists,"Crime, Drama, Mystery",7.1,45 min,TV-14,(2019)
110,Father Knows Best,"Comedy, Family",7.4,30 min,TV-G,(1954–1960)
111,Speechless,Comedy,7.6,30 min,TV-PG,(2016–2019)
112,Dance Moms,Reality-TV,4.7,42 min,TV-PG,(2011– )
113,Co-Ed Confidential,"Comedy, Drama, Romance",6.5,23 min,TV-MA,(2007– )
114,Lexx,"Action, Adventure, Comedy",7.3,90 min,R,(1996–2002)
115,Horrible Histories,"Comedy, Family",8.8,28 min,N/A,(2009–2020)
116,Cheyenne,Western,7.9,60 min,TV-G,(1955–1963)
117,Two Sentence Horror Stories,"Drama, Horror, Mystery",5.6,20 min,TV-14,(2017– )
118,The Partridge Family,"Comedy, Family, Music",6.4,30 min,TV-G,(1970–1974)
119,Witches of East End,"Comedy, Drama, Fantasy",7.6,60 min,TV-14,(2013–2014)
120,Wanderlust,Drama,7.1,60 min,TV-MA,(2018– )
121,Jeopardy!,Game-Show,8.2,30 min,TV-G,(1984– )
122,The Cleveland Show,"Animation, Adventure, Comedy",5.5,22 min,TV-14,(2009–2013)
123,Shark Tank,"Family, Reality-TV",7.6,60 min,TV-PG,(2009– )
124,Bizaardvark,"Comedy, Family",3.6,30 min,TV-G,(2016–2019)
125,Whiskey Cavalier,"Action, Adventure, Comedy",7.1,60 min,TV-14,(2019)
126,Laramie,Western,7.7,60 min,TV-PG,(1959–1963)
