,title,genre,rating,runtime,age_rating,years
34,Dave,Comedy,8.4,30 min,TV-MA,(2020– )
35,Leave It to Beaver,"Comedy, Family",7.5,30 min,TV-G,(1957–1963)
36,Happy Valley,"Crime, Drama",8.4,58 min,TV-MA,(2014– )
37,Fuller House,"Comedy, Family",6.8,30 min,TV-G,(2016–2020)
38,Rules of Engagement,"Comedy, Romance",7.3,22 min,TV-PG,(2007–2013)
39,Devious Maids,"Comedy, Drama, Mystery",7.8,60 min,TV-PG,(2013–2016)
40,The Unicorn,"Comedy, Drama, Family",7.2,22 min,TV-PG,(2019– )
41,Phineas and Ferb,"Animation, Short, Action",8.0,15 min,TV-G,(2007–2015)
42,Nikita,"Action, Crime, Drama",7.7,60 min,TV-14,(2010–2013)
43,Nip/Tuck,Drama,7.6,44 min,TV-MA,(2003–2010)
44,Gypsy,"Drama, Thriller",6.9,51 min,TV-MA,(2017)
45,Frontier,"Adventure, Drama, History",7.2,60 min,TV-MA,(2016–2018)
46,War of the Worlds,"Drama, Mystery, Sci-Fi",6.3,49 min,TV-MA,(2019– )
47,Ragnarok,"Drama, Fantasy, Mystery",7.5,45 min,TV-MA,(2020– )
48,Family Matters,"Adventure, Comedy, Drama",6.6,30 min,TV-G,(1989–1998)
49,Salvation,"Drama, Sci-Fi, Thriller",7.0,43 min,TV-14,(2017–2018)
50,Britannia,"Action, Drama, Fantasy",6.8,60 min,TV-MA,(2017– )
51,The Equalizer,"Action, Crime, Drama",7.8,48 min,TV-PG,(1985–1989)
52,Family Ties,"Comedy, Family",7.2,30 min,TV-G,(1982–1989)
53,The Facts of Life,"Comedy, Family",6.8,30 min,TV-PG,(1979–1988)
54,Stumptown,"Crime, Drama",7.5,44 min,TV-14,(2019–2020)
55,Only Fools and Horses,Comedy,8.9,95 min,TV-PG,(1981–2003)
56,Below Deck Mediterranean,Reality-TV,7.4,43 min,TV-14,(2016– )
57,Punky Brewster,"Comedy, Family",6.6,30 min,TV-G,(1984–1988)
58,Patriot,"Comedy, Drama, Thriller",8.3,58 min,TV-MA,(II) (2015–2018)
59,Ackley Bridge,"Drama, Romance",7.2,60 min,Not Rated,(2017– )
60,The Borgias,"Crime, Drama, History",7.9,50 min,TV-MA,(2011–2013)
61,On My Block,Comedy,8.0,30 min,TV-14,(2018– )
62,The Dukes of Hazzard,"Action, Comedy",7.1,60 min,PG,(1979–1985)
63,Switched at Birth,"Drama, Family, Romance",7.7,60 min,TV-14,(2011–2017)
64,The Split,Drama,7.7,60 min,TV-MA,(2018– )
65,Hill Street Blues,"Crime, Drama, Mystery",8.1,60 min,TV-14,(1981–1987)
66,Mrs. Fletcher,"Comedy, Drama",7.1,31 min,TV-MA,(2019)
67,Melrose Place,"Drama, Romance",5.8,60 min,TV-14,(1992–1999)
68,The Tunnel,"Crime, Drama, Mystery",7.9,60 min,TV-MA,(2013–2018)
69,Cardinal,"Crime, Drama, Mystery",7.7,42 min,TV-MA,(2017–2020)
70,One Day at a Time,Comedy,8.2,30 min,TV-PG,(2017–2020)
71,Buck Rogers in the 25th Century,"Action, Adventure, Sci-Fi",7.0,60 min,TV-G,(1979–1981)
72,EastEnders,"Crime, Drama, Romance",4.7,30 min,TV-PG,(1985– )
73,Numb3rs,"Crime, Drama, Mystery",6.9,43 min,TV-PG,(2005–2010)
74,Unforgettable,"Crime, Drama, Mystery",6.8,60 min,TV-14,(2011–2016)
75,Red Dwarf,"Adventure, Comedy, Sci-Fi",8.4,30 min,TV-14,(1988– )
76,All Creatures Great and Small,"Comedy, Drama",8.3,50 min,TV-PG,(1978–1990)
77,Under the Dome,"Drama, Mystery, Sci-Fi",6.6,43 min,TV-14,(2013–2015)
78,Bordertown,"Crime, Drama, Mystery",7.6,60 min,TV-MA,(2016–2020)
79,Teen Titans,"Animation, Action, Adventure",7.8,23 min,TV-Y7-FV,(2003–2006)
80,Tell Me a Story,Thriller,7.2,52 min,TV-MA,(2018–2020)
81,Burden of Truth,Drama,7.4,60 min,TV-PG,(2018–2021)
82,Home Before Dark,"Crime, Drama, Mystery",7.5,45 min,TV-14,(2020– )
83,Chesapeake Shores,"Drama, Family",7.6,42 min,TV-PG,(2016– )
84,The Munsters,"Comedy, Family, Fantasy",7.8,30 min,TV-PG,(1964–1966)
85,Bonding,"Comedy, Drama",7.2,107 min,TV-MA,(2018– )
86,Primal,"Animation, Action, Adventure",8.7,22 min,TV-MA,(2019– )
87,Terminator: The Sarah Connor Chronicles,"Action, Drama, Fantasy",7.7,60 min,TV-PG,(2008–2009)
88,Dark Shadows,"Drama, Fantasy, Horror",8.0,30 min,TV-PG,(1966–1971)
89,Steven Universe,"Animation, Action, Adventure",8.2,11 min,TV-PG,(2013–2020)
90,Spiral,"Crime, Drama, Mystery",8.5,52 min,TV-PG,(2005–2020)
91,Ghost Adventures,"Documentary, History, Reality-TV",7.5,45 min,TV-PG,(2008– )
92,The Society,"Drama, Mystery, Sci-Fi",7.1,58 min,TV-MA,(2019)
93,You're the Worst,"Comedy, Drama, Romance",8.1,30 min,TV-MA,(2014–2019)
94,Regular Show,"Animation, Short, Action",8.4,23 min,TV-PG,(2009–2017)
95,The Outpost,"Action, Adventure, Drama",6.2,44 min,TV-14,(2018– )
96,The Musketeers,"Adventure, Drama",7.8,55 min,TV-14,(2014–2016)
97,Our Girl,"Action, Drama, Thriller",7.7,60 min,TV-14,(2013–2020)
98,Falling Skies,"Action, Adventure, Drama",7.2,42 min,TV-14,(2011–2015)
99,Truth Be Told,"Crime, Drama, Thriller",7.1,45 min,TV-MA,(2019– )
100,Taxi,Comedy,7.7,30 min,TV-PG,(1978–1983)
101,Casualty,Drama,6.0,50 min,TV-PG,(1986– )
102,The Rain,"Drama, Sci-Fi, Thriller",6.3,45 min,TV-MA,(2018–2020)
103,The Practice,"Crime, Drama, Mystery",7.7,60 min,TV-14,(1997–2004)
104,Saved by the Bell,Comedy,5.1,25 min,TV-14,(2020– )
105,Top of the Lake,"Crime, Drama, Mystery",7.5,60 min,TV-MA,(2013–2017)
106,Last Week Tonight with John Oliver,"Comedy, News, Talk-Show",8.9,30 min,TV-MA,(2014– )
107,Suburgatory,Comedy,7.2,22 min,TV-PG,(2011–2014)
108,One Day at a Time,Comedy,6.6,30 min,TV-PG,(1975–1984)
109,Torchwood,"Action, Drama, Mystery",7.7,50 min,TV-MA,(2006–2011)
110,Coronation Street,"Drama, Romance",5.5,30 min,TV-PG,(1960– )
111,Growing Pains,"Comedy, Family",6.6,30 min,TV-G,(1985–1992)
112,Gintama,"Animation, Action, Comedy",8.6,N/A,TV-14,(2005–2018)
113,Humans,"Drama, Sci-Fi",8.0,42 min,TV-14,(2015–2018)
114,Broad City,Comedy,8.4,22 min,TV-14,(2014–2019)
115,Master of None,"Comedy, Drama",8.3,30 min,TV-MA,(2015–2017)
116,Night Court,Comedy,7.7,30 min,TV-PG,(1984–1992)
117,Messiah,"Drama, Mystery, Thriller",7.6,43 min,TV-MA,(2020)
118,Grown-ish,"Comedy, Drama",6.4,22 min,TV-14,(2018– )
119,V,"Drama, Sci-Fi, Thriller",6.8,42 min,TV-14,(2009–2011)
120,Close Enough,"Animation, Comedy, Drama",7.8,23 min,TV-14,(2020– )
121,Are You Afraid of the Dark?,"Drama, Family, Fantasy",8.2,30 min,TV-Y7,(1990–2000)
122,The L Word,"Drama, Romance",7.6,50 min,TV-MA,(I) (2004–2009)
123,Harlots,Drama,7.7,45 min,TV-MA,(2017–2019)
124,Penny Dreadful: City of Angels,"Crime, Drama, Fantasy",6.0,N/A,TV-MA,(2020)
125,H2O: Just Add Water,"Drama, Family, Fantasy",7.2,23 min,TV-PG,(2006–2010)
126,Knightfall,"Action, Adventure, Drama",6.8,60 min,TV-14,(2017–2019)
127,Knight Rider,"Action, Crime, Drama",6.9,46 min,TV-PG,(1982–1986)
128,Insecure,"Comedy, Romance",7.9,30 min,TV-MA,(2016– )
129,Awkwafina Is Nora from Queens,Comedy,7.1,30 min,TV-MA,(2020– )
130,Neighbours,"Drama, Romance",5.4,22 min,TV-G,(1985– )
131,My Brilliant Friend,Drama,8.6,60 min,TV-MA,(2018– )
132,The Politician,"Comedy, Drama",7.5,42 min,TV-14,(2019– )
133,Catastrophe,Comedy,8.2,24 min,TV-MA,(2015–2019)
134,Greek,"Comedy, Drama, Family",7.5,60 min,TV-14,(2007–2011)
135,Better Things,"Comedy, Drama",7.8,22 min,TV-MA,(2016– )
136,Justice League Unlimited,"Animation, Action, Adventure",8.7,23 min,TV-Y7-FV,(2004–2006)
137,Perception,"Crime, Drama, Mystery",7.5,42 min,TV-14,(2012–2015)
138,Are You Afraid of the Dark?,"Adventure, Drama, Family",7.1,132 min,TV-PG,(2019–2021)
139,The Dick Van Dyke Show,"Comedy, Family",8.3,30 min,TV-G,(1961–1966)
140,Ancient Aliens,"Documentary, Fantasy, History",7.3,42 min,TV-PG,(2009– )
141,Wycliffe,"Crime, Drama, Mystery",7.1,50 min,TV-14,(1994–1998)
142,Mob Psycho 100,"Animation, Action, Comedy",8.5,24 min,TV-14,(2016– )
143,Hell on Wheels,"Drama, Western",8.3,42 min,TV-14,(2011–2016)
144,The Boondocks,"Animation, Action, Comedy",8.4,22 min,TV-MA,(2005–2014)
145,Rake,"Comedy, Drama",8.5,60 min,Not Rated,(2010–2018)
146,"Walker, Texas Ranger","Action, Adventure, Crime",5.5,43 min,TV-14,(1993–2001)
147,The Eric Andre Show,Comedy,8.6,11 min,TV-MA,(2012– )
148,Beauty and the Beast,"Drama, Horror, Romance",7.1,60 min,TV-14,(2012–2016)
149,The Vicar of Dibley,Comedy,8.0,60 min,TV-PG,(1994–2020)
150,Queen Sugar,Drama,7.7,60 min,TV-14,(2016– )
151,Berserk,"Animation, Action, Adventure",8.7,23 min,TV-14,(1997–1998)
152,The Following,"Crime, Drama, Horror",7.4,43 min,TV-14,(2013–2015)
