,title,genre,rating,runtime,age_rating,years
34,We Bare Bears,"Animation, Adventure, Comedy",7.9,30 min,TV-Y7,(2014–2019)
35,Brickleberry,"Animation, Comedy",7.4,22 min,TV-MA,(2012–2015)
36,Goblin Slayer,"Animation, Action, Adventure",7.5,30 min,TV-MA,(2018– )
37,Shake It Up,"Comedy, Family",4.9,30 min,TV-G,(2010–2013)
38,I Think You Should Leave with Tim Robinson,Comedy,7.7,16 min,TV-MA,(2019– )
39,Courage the Cowardly Dog,"Animation, Adventure, Comedy",8.2,11 min,TV-Y7,(1999–2002)
40,Great News,Comedy,7.0,22 min,TV-14,(2017–2018)
41,Ransom,"Action, Crime, Drama",6.6,44 min,TV-14,(2017–2019)
42,Valeria,"Comedy, Drama, Romance",6.2,N/A,TV-MA,(2020– )
43,Dear White People,"Comedy, Drama",6.3,30 min,TV-MA,(2017–2021)
44,The Circle,"Game-Show, Reality-TV",7.0,60 min,N/A,(III) (2018– )
45,800 Words,"Comedy, Drama, Family",7.9,50 min,TV-PG,(2015–2018)
46,Damnation,"Crime, Drama, Western",7.7,60 min,TV-MA,(2017–2018)
47,Pure,"Comedy, Drama",7.4,45 min,Not Rated,(2019– )
48,Katy Keene,"Comedy, Drama, Musical",6.2,42 min,TV-14,(2020)
49,Teenage Mutant Ninja Turtles,"Animation, Action, Adventure",7.9,23 min,TV-Y7,(1987–1996)
50,Love Island,"Reality-TV, Romance",5.2,60 min,TV-MA,(2015– )
51,"Upstairs, Downstairs",Drama,8.3,60 min,TV-14,(1971–1975)
52,Kuroko's Basketball,"Animation, Comedy, Sport",8.3,24 min,N/A,(2012–2015)
53,Borgia,"Biography, Drama, History",7.8,52 min,TV-MA,(2011–2014)
54,MythBusters,"Documentary, Mystery, Reality-TV",8.3,44 min,TV-PG,(2003– )
55,The Fall Guy,"Action, Adventure, Comedy",7.1,60 min,TV-14,(1981–1986)
56,My Life Is Murder,"Comedy, Crime, Drama",7.5,60 min,TV-14,(2019– )
57,Dragon Ball,"Animation, Action, Adventure",8.5,24 min,TV-Y7,(1986–1989)
58,Gargoyles,"Animation, Action, Adventure",8.1,30 min,TV-Y7,(1994–1996)
59,Gang Related,"Action, Crime, Drama",7.6,46 min,N/A,(2014)
60,Cowboy Bebop,"Action, Adventure, Crime",N/A,N/A,TV-14,(2021– )
61,Even Stevens,"Comedy, Family",7.6,30 min,TV-G,(2000–2003)
62,Kitchen Nightmares,Reality-TV,7.5,60 min,TV-14,(2007–2014)
63,Camelot,"Drama, Fantasy, History",6.5,45 min,TV-MA,(2011)
64,Perfume,"Drama, Thriller",7.1,45 min,TV-MA,(2018)
65,The Innocents,Drama,8.1,N/A,N/A,(2020– )
66,What's Wrong with Secretary Kim,"Comedy, Mystery, Romance",8.1,60 min,TV-G,(2018)
67,Voltron: Legendary Defender,"Animation, Action, Adventure",8.1,23 min,TV-Y7,(2016–2018)
68,Cracker,"Crime, Drama, Mystery",8.4,100 min,TV-MA,(1993–1996)
69,Teachers,"Comedy, Drama",7.8,50 min,N/A,(2001–2004)
70,Manhunt,"Biography, Crime, Drama",7.4,45 min,TV-14,(2019)
71,I Love Dick,Comedy,6.3,32 min,TV-MA,(2016–2017)
72,Shades of Blue,"Action, Crime, Drama",7.0,60 min,TV-14,(2016–2018)
73,Inuyasha,"Animation, Action, Adventure",7.9,24 min,TV-14,(2000–2004)
74,Sydney to the Max,"Comedy, Family",6.4,22 min,TV-G,(2019– )
75,Magic City,"Crime, Drama",7.6,50 min,TV-MA,(2012–2013)
76,Black Lagoon,"Animation, Action, Adventure",8.0,25 min,TV-MA,(2006)
77,Ridiculousness,"Comedy, Reality-TV",6.4,30 min,TV-14,(2011– )
78,The Detour,"Adventure, Comedy",7.8,30 min,TV-MA,(2016–2019)
79,Dickensian,Drama,7.6,60 min,TV-PG,(2015–2016)
80,The Secret of Skinwalker Ranch,"Horror, Mystery, Reality-TV",6.1,42 min,TV-PG,(2020– )
81,The Looney Tunes Show,"Animation, Short, Adventure",7.5,23 min,TV-PG,(2011–2014)
82,Unsolved: The Murders of Tupac and the Notorious B.I.G.,"Biography, Crime",7.9,60 min,TV-MA,(2018– )
83,Robin Hood,"Action, Adventure, Comedy",7.5,60 min,TV-PG,(2006–2009)
84,Mr. Show with Bob and David,Comedy,8.4,27 min,TV-MA,(1995–1998)
85,The Real Housewives of New Jersey,Reality-TV,4.0,44 min,TV-14,(2009– )
86,Puppy Dog Pals,"Animation, Family",7.1,24 min,TV-Y,(2017– )
87,The Trial,Crime,7.0,52 min,TV-MA,(2019– )
88,Ben 10,"Animation, Short, Action",2.4,12 min,TV-Y7-FV,(2016– )
89,Kolchak: The Night Stalker,"Horror, Mystery, Thriller",8.5,51 min,TV-PG,(1974–1975)
90,While You Were Sleeping,"Comedy, Drama, Fantasy",8.4,30 min,N/A,(2017)
91,Kyle XY,"Drama, Mystery, Romance",7.5,60 min,TV-14,(2006–2009)
92,Luis Miguel: The Series,"Biography, Drama, History",8.1,60 min,TV-14,(2018– )
93,Marianne,"Drama, Horror",7.5,50 min,TV-MA,(2019)
94,Kill la Kill,"Animation, Action, Comedy",7.9,25 min,TV-MA,(2013–2014)
95,Domestic Girlfriend,"Animation, Drama, Romance",6.8,25 min,TV-MA,(2019– )
96,The Blacklist: Redemption,"Action, Crime, Drama",7.1,43 min,TV-14,(2017)
97,Whose Line Is It Anyway?,"Comedy, Game-Show",8.5,30 min,TV-PG,(1998–2007)
98,Baskets,"Comedy, Drama",7.6,30 min,TV-MA,(2016–2019)
99,Are You the One?,Reality-TV,6.5,41 min,TV-14,(2014– )
100,The K2,"Drama, Romance, Thriller",7.8,60 min,TV-14,(2016)
101,Ballykissangel,"Comedy, Drama",7.4,50 min,TV-14,(1996–2001)
102,Dark Side of the Ring,"Documentary, Drama, History",8.7,60 min,TV-14,(2019– )
103,Mystery Science Theater 3000,"Comedy, Sci-Fi",8.5,92 min,TV-14,(1988–1999)
104,Schooled,Comedy,6.9,30 min,TV-PG,(2019–2020)
105,Home Fires,"Drama, War",8.2,45 min,TV-PG,(2015–2016)
106,Green Wing,"Comedy, Drama",8.3,65 min,TV-14,(2004–2007)
107,Documentary Now!,Comedy,8.1,23 min,TV-14,(2015– )
108,Kings,"Drama, Sci-Fi",8.2,60 min,TV-14,(2009)
109,Underbelly,"Action, Crime, Drama",8.1,60 min,N/A,(2008–2013)
110,Alone,"Documentary, Reality-TV",8.4,44 min,TV-14,(2015– )
111,Pawn Stars,Reality-TV,7.2,30 min,TV-PG,(2009– )
112,The First,"Drama, Sci-Fi",6.7,45 min,TV-MA,(2018)
113,The Graham Norton Show,"Comedy, Music, Talk-Show",8.4,60 min,TV-14,(2007– )
114,Just Add Magic,"Comedy, Drama, Family",8.3,27 min,TV-Y,(2015– )
115,Murphy Brown,Comedy,6.8,30 min,TV-PG,(1988–2018)
116,Adventures of Superman,"Action, Adventure, Crime",7.7,30 min,TV-G,(1952–1958)
117,Prison School,"Animation, Comedy",7.6,24 min,TV-MA,(2015– )
118,The Young Ones,Comedy,8.2,410 min,N/A,(1982–1984)
119,Sick Note,"Comedy, Crime",6.8,30 min,TV-MA,(2017–2018)
120,Tom and Jerry,"Animation, Short, Comedy",9.3,8 min,TV-G,(1940– )
121,Gold Rush,Reality-TV,7.3,45 min,TV-14,(2010– )
122,Toradora!,"Animation, Comedy, Drama",8.0,24 min,TV-14,(2008–2009)
123,Grand Hotel,"Crime, Drama, Mystery",7.1,43 min,TV-14,(2019)
124,Knight Rider,"Adventure, Mystery, Thriller",5.6,60 min,TV-14,(2008–2009)
