,title,genre,rating,runtime,age_rating,years
47,Power,"Crime, Drama",8.1,50 min,TV-MA,(I) (2014–2020)
48,Wentworth,"Crime, Drama",8.6,45 min,TV-MA,(2013–2021)
49,Lost in Space,"Adventure, Drama, Family",7.3,60 min,TV-PG,(2018– )
50,Batman: The Animated Series,"Animation, Action, Adventure",9.0,23 min,TV-PG,(1992–1995)
51,The Andy Griffith Show,"Comedy, Family",8.3,30 min,TV-G,(1960–1968)
52,Dallas,"Drama, Romance",7.0,60 min,TV-PG,(1978–1991)
53,The Act,"Biography, Crime, Drama",8.0,60 min,TV-MA,(2019)
54,Misfits,"Comedy, Drama, Fantasy",8.2,60 min,TV-MA,(2009–2013)
55,Agatha Christie's Marple,"Crime, Drama, Mystery",7.8,93 min,TV-14,(2004–2013)
56,After Life,"Comedy, Drama",8.4,30 min,TV-MA,(2019– )
57,Manhunt,"Biography, Crime, Drama",8.1,60 min,TV-14,(II) (2017– )
58,The Fosters,"Drama, Romance",7.9,60 min,TV-14,(2013–2018)
59,Orphan Black,"Action, Drama, Sci-Fi",8.3,44 min,TV-MA,(2013–2017)
60,The Durrells,"Biography, Comedy, Drama",8.2,46 min,TV-PG,(2016–2019)
61,Mythic Quest: Raven's Banquet,Comedy,7.6,30 min,TV-MA,(2020– )
62,Top Gear,"Adventure, Comedy, Reality-TV",8.7,60 min,TV-PG,(2002– )
63,The King of Queens,Comedy,7.3,22 min,TV-PG,(1998–2007)
64,Shadowhunters,"Action, Drama, Fantasy",6.6,42 min,TV-14,(2016–2019)
65,Stargirl,"Action, Adventure, Crime",7.3,566 min,TV-PG,(2020– )
66,Veep,Comedy,8.3,28 min,TV-MA,(2012–2019)
67,Doc Martin,"Comedy, Drama, Romance",8.3,46 min,TV-14,(2004– )
68,The IT Crowd,Comedy,8.5,25 min,TV-14,(2006–2013)
69,Charmed,"Drama, Fantasy, Mystery",4.6,43 min,TV-PG,(2018– )
70,Penny Dreadful,"Drama, Fantasy, Horror",8.2,60 min,TV-MA,(2014–2016)
71,Castlevania,"Animation, Action, Adventure",8.2,23 min,TV-MA,(2017– )
72,The OA,"Drama, Fantasy, Mystery",7.9,60 min,TV-MA,(2016–2019)
73,Prank Encounters,"Comedy, Horror, Reality-TV",5.1,24 min,TV-MA,(2019– )
74,"Love, Victor","Comedy, Drama, Romance",8.1,30 min,TV-14,(2020– )
75,Hanna,"Action, Drama",7.5,60 min,TV-MA,(2019– )
76,Gravity Falls,"Animation, Adventure, Comedy",8.9,23 min,TV-Y7,(2012–2016)
77,Californication,"Comedy, Drama",8.3,28 min,TV-MA,(2007–2014)
78,Van Helsing,"Action, Drama, Fantasy",6.2,60 min,TV-14,(2016– )
79,JAG,"Action, Crime, Drama",6.6,60 min,TV-14,(1995–2005)
80,Adventure Time,"Animation, Short, Action",8.6,11 min,TV-PG,(2010–2018)
81,"Magnum, P.I.","Action, Adventure, Crime",7.5,48 min,TV-PG,(1980–1988)
82,The End of the F***ing World,"Adventure, Comedy, Crime",8.1,25 min,TV-MA,(2017–2019)
83,Shetland,"Crime, Drama, Mystery",8.1,60 min,TV-14,(2013– )
84,The Middle,Comedy,7.6,22 min,TV-PG,(2009–2018)
85,Babylon Berlin,"Crime, Drama, Thriller",8.4,45 min,TV-MA,(2017– )
86,Shameless,"Comedy, Crime, Drama",8.0,90 min,TV-MA,(2004–2013)
87,Russian Doll,"Adventure, Comedy, Drama",7.9,30 min,TV-MA,(2019– )
88,The Challenge,"Adventure, Game-Show, Reality-TV",7.6,60 min,TV-14,(1998– )
89,Eureka,"Adventure, Comedy, Drama",7.9,60 min,TV-14,(2006–2012)
90,Hart of Dixie,"Comedy, Drama, Romance",7.7,60 min,TV-PG,(2011–2015)
91,Young Justice,"Animation, Action, Adventure",8.6,23 min,TV-PG,(2010– )
92,Crash Landing on You,"Comedy, Romance",8.7,70 min,TV-14,(2019–2020)
93,Black Lightning,"Action, Drama, Sci-Fi",6.1,43 min,TV-14,(2017–2021)
94,Sanditon,"Drama, Romance",7.8,60 min,TV-14,(2019)
95,Lethal Weapon,"Action, Comedy, Crime",7.9,44 min,TV-14,(2016–2019)
96,Legion,"Action, Drama, Sci-Fi",8.2,60 min,TV-MA,(2017–2019)
97,Mad About You,"Comedy, Romance",6.6,22 min,TV-PG,(1992–2019)
98,Sneaky Pete,Crime,8.1,60 min,TV-MA,(2015–2019)
99,Paradise PD,"Animation, Action, Comedy",6.9,28 min,TV-MA,(2018– )
100,Why Women Kill,"Comedy, Crime, Drama",8.4,N/A,TV-MA,(2019– )
101,Top Boy,"Crime, Drama, Thriller",8.4,60 min,Not Rated,(2011– )
102,Imposters,"Comedy, Crime, Drama",7.8,41 min,TV-14,(2017– )
103,Star Trek: Lower Decks,"Animation, Action, Adventure",7.0,N/A,TV-MA,(2020– )
104,The Closer,"Crime, Drama, Mystery",7.6,46 min,TV-14,(2005–2012)
105,Brave New World,"Drama, Sci-Fi, Thriller",7.1,415 min,TV-MA,(I) (2020)
106,Trailer Park Boys,"Comedy, Crime",8.5,30 min,TV-MA,(2001–2018)
107,The Waltons,"Drama, Family, Romance",7.6,60 min,TV-G,(1972–1981)
108,Modern Love,"Comedy, Romance",8.0,32 min,TV-MA,(2019– )
109,Victorious,"Comedy, Drama, Family",6.9,30 min,TV-G,(2010–2013)
110,The Vineyard,"Drama, History, Romance",7.0,N/A,N/A,(2021– )
111,Full House,"Comedy, Drama, Family",6.7,22 min,TV-G,(1987–1995)
112,Preacher,"Adventure, Drama, Fantasy",8.0,60 min,TV-MA,(2016–2019)
113,The Strain,"Drama, Fantasy, Horror",7.3,43 min,TV-MA,(2014–2017)
114,Cougar Town,"Comedy, Romance",7.0,22 min,TV-14,(2009–2015)
115,3rd Rock from the Sun,"Comedy, Family, Sci-Fi",7.7,60 min,TV-PG,(1996–2001)
116,World on Fire,"Drama, War",7.3,57 min,TV-14,(2019– )
117,Scream Queens,"Comedy, Horror, Mystery",7.1,45 min,TV-14,(2015–2016)
118,Leverage,"Crime, Mystery, Thriller",7.9,42 min,TV-PG,(2008–2012)
119,Bewitched,"Comedy, Family, Fantasy",7.5,25 min,TV-G,(1964–1972)
120,Dickinson,"Biography, Comedy, Drama",7.4,30 min,TV-14,(2019– )
121,Strike Back,"Action, Drama, Thriller",8.2,45 min,TV-MA,(2010–2020)
122,Breeders,Comedy,7.3,N/A,TV-MA,(2020– )
123,Castle Rock,"Drama, Fantasy, Horror",7.6,60 min,TV-MA,(2018–2019)
124,Colony,"Action, Adventure, Drama",7.4,42 min,TV-14,(2016–2018)
125,The Walking Dead: World Beyond,"Drama, Horror, Sci-Fi",4.2,60 min,TV-14,(2020– )
126,The Office,"Comedy, Drama",8.5,30 min,TV-MA,(2001–2003)
127,Into the Dark,"Drama, Fantasy, Horror",6.4,90 min,TV-MA,(2018– )
128,Mortal Kombat: Legacy,"Action, Adventure, Crime",7.5,10 min,TV-MA,(2011–2013)
129,GLOW,"Comedy, Drama, Sport",8.0,35 min,TV-MA,(2017–2019)
130,Henry Danger,"Action, Comedy, Family",5.6,30 min,TV-G,(2014–2020)
131,Cursed,"Adventure, Drama, Fantasy",5.9,N/A,TV-MA,(2020– )
132,Sweet Magnolias,"Drama, Romance",7.4,N/A,TV-14,(2020– )
133,Fauda,"Action, Drama, Thriller",8.2,60 min,TV-MA,(2015– )
134,Felicity,"Drama, Romance",6.8,60 min,TV-14,(1998–2002)
135,CSI: Miami,"Action, Crime, Drama",6.4,43 min,TV-14,(2002–2012)
136,2 Broke Girls,Comedy,6.7,22 min,TV-14,(2011–2017)
137,Boruto: Naruto Next Generations,"Animation, Action, Adventure",7.0,23 min,TV-14,(2017– )
138,Good Witch,"Comedy, Drama, Fantasy",7.3,48 min,TV-PG,(2015– )
139,The Secret Life of the American Teenager,"Comedy, Drama, Family",5.0,43 min,TV-14,(2008–2013)
140,Absentia,"Crime, Drama, Mystery",7.3,60 min,TV-MA,(2017– )
141,Boston Legal,"Comedy, Crime, Drama",8.4,44 min,TV-14,(2004–2008)
142,Fresh Off the Boat,Comedy,7.8,22 min,TV-PG,(2015–2020)
143,Into the Badlands,"Action, Adventure, Drama",8.0,42 min,TV-14,(2015–2019)
144,Lie to Me,"Crime, Drama, Mystery",8.0,43 min,TV-14,(2009–2011)
145,Babylon 5,"Action, Adventure, Drama",8.3,45 min,TV-PG,(1993–1998)
146,All Creatures Great and Small,"Comedy, Drama",8.4,N/A,TV-PG,(2020– )
147,Riviera,"Drama, Thriller",6.7,60 min,TV-MA,(2017– )
148,Battlestar Galactica,"Action, Adventure, Sci-Fi",7.2,60 min,TV-PG,(1978–1979)
149,Reno 911!,"Comedy, Crime",7.9,22 min,TV-14,(2003– )
150,The Newsroom,Drama,8.6,55 min,TV-MA,(2012–2014)
151,King of the Hill,"Animation, Comedy, Drama",7.3,30 min,TV-PG,(1997–2010)
