,title,genre,rating,runtime,age_rating,years
33,I'm Sorry,Comedy,8.0,30 min,TV-MA,(2017– )
34,Freud,"Crime, History, Thriller",6.5,55 min,TV-MA,(2020– )
35,The Widow,"Action, Drama, Mystery",6.9,60 min,TV-MA,(I) (2019)
36,Batman Beyond,"Animation, Action, Adventure",8.1,23 min,TV-Y7,(1999–2001)
37,The Drew Carey Show,"Comedy, Drama",6.8,30 min,TV-PG,(1995–2004)
38,High Maintenance,"Comedy, Drama",8.1,30 min,TV-MA,(2016– )
39,Without a Trace,"Crime, Drama, Mystery",6.9,60 min,TV-14,(2002–2009)
40,Hart to Hart,"Action, Adventure, Crime",6.6,60 min,TV-PG,(1979–1984)
41,Corner Gas,Comedy,8.1,30 min,TV-14,(2004–2009)
42,Killjoys,"Action, Adventure, Sci-Fi",7.2,42 min,TV-MA,(2015–2019)
43,Woke,Comedy,6.4,N/A,TV-MA,(2020– )
44,Don't Trust the B---- in Apartment 23,Comedy,7.3,22 min,TV-14,(2012–2013)
45,Hightown,"Crime, Drama, Mystery",6.5,N/A,TV-MA,(2020– )
46,Diff'rent Strokes,"Comedy, Drama, Family",6.7,30 min,TV-PG,(1978–1986)
47,Save Me,"Drama, Mystery",7.7,270 min,TV-MA,(2018– )
48,Hung,"Comedy, Drama",7.1,30 min,TV-MA,(2009–2011)
49,The Guest Book,Comedy,7.2,30 min,TV-MA,(2017–2018)
50,Spaced,"Action, Comedy",8.5,25 min,TV-14,(1999–2001)
51,The Glades,"Action, Crime, Drama",7.5,60 min,TV-14,(2010–2013)
52,Pearson,Drama,6.9,42 min,TV-14,(2019)
53,Casual,"Comedy, Drama",7.5,25 min,TV-MA,(2015–2018)
54,Dallas,"Drama, Romance",7.1,42 min,TV-14,(2012–2014)
55,NOS4A2,"Drama, Fantasy, Horror",6.7,60 min,TV-14,(2019–2020)
56,Fantasy Island,"Adventure, Comedy, Drama",6.5,60 min,TV-G,(1977–1984)
57,The Thick of It,Comedy,8.7,29 min,TV-MA,(2005–2012)
58,Baghdad Central,"Crime, Drama, History",7.3,60 min,N/A,(2020)
59,The Carol Burnett Show,"Comedy, Family",8.8,60 min,TV-G,(1967–1978)
60,Defiance,"Action, Drama, Sci-Fi",7.0,43 min,TV-MA,(2013–2015)
61,Run,"Comedy, Romance, Thriller",6.2,N/A,TV-MA,(I) (2020)
62,Black Summer,"Action, Drama, Horror",6.4,40 min,TV-MA,(2019– )
63,Lark Rise to Candleford,"Drama, Romance",8.1,53 min,TV-PG,(2008–2011)
64,The Midnight Gospel,"Animation, Adventure, Comedy",8.3,23 min,TV-MA,(2020– )
65,American Idol,"Game-Show, Music, Reality-TV",4.1,42 min,TV-PG,(2002– )
66,On Becoming a God in Central Florida,Comedy,7.2,46 min,TV-MA,(2019)
67,The Other Two,Comedy,7.4,30 min,TV-MA,(2019– )
68,The Worst Witch,"Family, Fantasy",7.3,30 min,TV-Y7,(2017– )
69,Dare Me,"Crime, Mystery, Thriller",6.7,42 min,TV-MA,(2019–2020)
70,The Man from U.N.C.L.E.,"Action, Adventure, Crime",7.7,50 min,TV-PG,(1964–1968)
71,Sanctuary,"Action, Drama, Fantasy",7.3,44 min,TV-14,(2008–2011)
72,Troy: Fall of a City,"Action, Adventure, Fantasy",3.8,60 min,TV-MA,(2018– )
73,The Guardian,"Crime, Drama",7.4,60 min,TV-PG,(2001–2004)
