,title,genre,rating,runtime,age_rating,years
90,Andromeda,"Action, Adventure, Drama",6.6,43 min,TV-PG,(2000–2005)
91,Lodge 49,"Comedy, Drama, Mystery",7.6,51 min,TV-14,(2018–2019)
92,American Vandal,"Comedy, Crime, Drama",8.2,34 min,TV-MA,(2017–2018)
93,Single Parents,Comedy,7.1,30 min,TV-PG,(2018–2020)
94,Young Wallander,"Crime, Drama, Mystery",6.8,N/A,TV-MA,(2020– )
95,Undercover Billionaire,Reality-TV,7.7,42 min,TV-PG,(2019– )
96,Wu Assassins,"Action, Crime, Drama",6.4,44 min,TV-MA,(2019– )
97,Mr. Bean,"Comedy, Family",8.5,25 min,TV-G,(1990–1995)
98,Damages,"Crime, Drama, Mystery",8.1,60 min,TV-MA,(2007–2012)
99,Hard,Comedy,6.3,N/A,N/A,(2020– )
100,Cuckoo,Comedy,7.3,30 min,TV-14,(II) (2012– )
101,The Inspector Lynley Mysteries,"Crime, Drama, Mystery",7.3,90 min,TV-14,(2001–2008)
102,House of Lies,"Comedy, Drama",7.4,28 min,TV-MA,(2012–2016)
103,Dragon Ball Super,"Animation, Action, Adventure",8.4,24 min,TV-PG,(2015–2018)
104,The Owl House,"Animation, Action, Adventure",8.0,22 min,TV-Y7-FV,(2020– )
105,Whitechapel,"Crime, Mystery, Thriller",7.9,180 min,TV-14,(2009–2013)
106,Pan Am,"Drama, History, Romance",7.0,42 min,TV-PG,(2011–2012)
107,The New Adventures of Old Christine,Comedy,7.1,22 min,TV-PG,(2006–2010)
108,Brockmire,"Comedy, Drama, Sport",8.1,30 min,TV-MA,(2017–2020)
109,The Quintessential Quintuplets,"Animation, Comedy, Drama",7.4,24 min,TV-PG,(2019– )
110,Mr. Sunshine,"Action, Drama, History",8.8,80 min,TV-MA,(2018)
111,Deadly Class,"Action, Adventure, Comedy",7.6,60 min,TV-MA,(2018–2019)
112,The Night Shift,"Drama, Romance",7.4,42 min,TV-14,(2014–2017)
113,In Plain Sight,"Crime, Drama, Mystery",7.3,60 min,TV-14,(2008–2012)
114,Rectify,Drama,8.3,60 min,TV-14,(2013–2016)
115,The Gulf,Crime,6.4,45 min,N/A,(2019– )
116,Bob Hearts Abishola,"Comedy, Romance",6.7,21 min,TV-PG,(2019– )
117,Living with Yourself,"Comedy, Drama, Sci-Fi",7.2,26 min,TV-MA,(2019– )
118,Girlfriends' Guide to Divorce,"Comedy, Drama",6.9,60 min,TV-14,(2014–2018)
119,Better Than Us,"Drama, Sci-Fi",7.4,52 min,N/A,(2018–2019)
120,ALF,"Comedy, Family, Sci-Fi",7.4,30 min,TV-G,(1986–1990)
121,Vagabond,"Action, Mystery, Thriller",8.3,60 min,N/A,(2019)
122,Salem,"Drama, Fantasy, Horror",7.2,60 min,TV-MA,(2014–2017)
123,The Fairly OddParents,"Animation, Adventure, Comedy",7.2,30 min,TV-Y7,(2001–2017)
124,Trollhunters: Tales of Arcadia,"Animation, Action, Adventure",8.5,23 min,TV-Y7,(2016–2018)
125,Superman: The Animated Series,"Animation, Action, Adventure",8.1,30 min,TV-PG,(1996–2000)
126,Berlin Station,"Drama, Thriller",7.6,60 min,TV-MA,(2016–2019)
127,Back,"Comedy, Drama",7.4,24 min,TV-MA,(2017– )
128,The Six Million Dollar Man,"Action, Adventure, Crime",7.1,60 min,TV-PG,(1974–1978)
129,My Little Pony: Friendship Is Magic,"Animation, Adventure, Comedy",7.6,22 min,TV-Y,(2010–2020)
130,The Food That Built America,"Documentary, History",8.5,N/A,TV-PG,(2019– )
131,The Saint,"Action, Crime, Drama",7.5,50 min,TV-PG,(1962–1969)
132,NewsRadio,"Comedy, Romance",7.9,23 min,TV-PG,(1995–1999)
133,El Dragón: Return of a Warrior,"Action, Adventure, Drama",7.0,45 min,TV-MA,(2019–2020)
134,The Unit,"Action, Drama, Thriller",8.1,60 min,TV-PG,(2006–2009)
135,Rascal Does Not Dream of Bunny Girl Senpai,"Animation, Drama, Fantasy",8.1,24 min,TV-PG,(2018– )
136,Amphibia,"Animation, Short, Adventure",7.9,23 min,TV-Y7,(2019– )
137,Trying,Comedy,7.6,30 min,TV-14,(2020–2022)
138,Make It or Break It,"Drama, Sport",7.5,45 min,TV-14,(2009–2012)
139,Ben 10,"Animation, Action, Adventure",7.2,30 min,TV-Y7-FV,(2005–2008)
140,Vice Principals,Comedy,8.0,30 min,TV-MA,(2016–2018)
141,Carnivàle,"Drama, Fantasy, Mystery",8.4,55 min,TV-MA,(2003–2005)
142,The Real Housewives of Beverly Hills,Reality-TV,5.0,44 min,TV-14,(2010– )
143,I Love Lucy,"Comedy, Family",8.4,30 min,TV-G,(1951–1957)
144,The Catch,"Crime, Drama, Romance",7.2,43 min,TV-14,(2016–2017)
