modzcta,modzcta_name,lat,lon,people_tested,people_positive,%_positive,%_at_least_1,%_full_vax
11211,East Williamsburg/Williamsburg (North)/Williamsburg (South),40.712334,-73.953851,2469,56,0.022681247468610800,0.570958931,0.385751675
11212,Ocean Hill-Brownsville,40.662935,-73.913011,3010,116,0.038538205980066400,0.361467845,0.252254105
11213,Crown Heights (East),40.671074,-73.93633,2253,76,0.033732800710164200,0.380083315,0.26298912
11214,Bath Beach/Bensonhurst/Gravesend,40.598729,-73.99621,2458,94,0.03824247355573640,0.506441925,0.344487954
11215,Gowanus/Park Slope/Windsor Terrace,40.66252,-73.986872,2502,30,0.011990407673860900,0.694616169,0.540352668
11216,Bedford-Stuyvesant (West)/Crown Heights (West),40.680785,-73.94931,1891,43,0.022739291380222100,0.550898784,0.394262394
11217,Boerum Hill/Park Slope,40.682417,-73.97938,1512,19,0.012566137566137600,0.650057689,0.485730408
11218,Kensington/Windsor Terrace,40.64348,-73.976044,2211,56,0.02532790592492090,0.541150779,0.388543802
11219,Borough Park,40.632662,-73.996666,1856,58,0.03125,0.419581171,0.258424289
11220,Sunset Park,40.641081,-74.016495,2714,122,0.0449521002210759,0.657290826,0.380318012
11221,Bedford-Stuyvesant (East)/Bushwick,40.691339,-73.927885,2657,68,0.02559277380504330,0.499403415,0.335800653
11222,Greenpoint,40.728292,-73.947562,1180,15,0.012711864406779700,0.69898725,0.489206863
11223,Gravesend/Homecrest,40.597169,-73.973422,2234,103,0.046105640107430600,0.439484606,0.303561202
11224,Brighton Beach/Coney Island/Seagate,40.57666,-73.988581,1415,57,0.040282685512367500,0.392731384,0.280617323
11225,Crown Heights (West)/Prospect Lefferts Gardens,40.663056,-73.954226,1878,65,0.03461128860489880,0.500568194,0.353897388
11226,Flatbush/Prospect Lefferts Gardens,40.646456,-73.956654,3275,110,0.03358778625954200,0.450685405,0.310956637
11228,Bath Beach/Dyker Heights,40.616715,-74.013054,1334,57,0.04272863568215890,0.559726029,0.395688792
11229,Gerritsen Beach/Homecrest/Sheepshead Bay,40.601175,-73.944465,2675,100,0.037383177570093500,0.459326064,0.33475841
11230,Midwood,40.622164,-73.965096,2481,97,0.03909713825070540,0.400942327,0.284055609
11231,Carroll Gardens/Cobble Hill/Red Hook,40.677562,-74.004445,1554,35,0.02252252252252250,0.621383355,0.473656635
11232,Sunset Park,40.655984,-74.005304,933,21,0.022508038585209000,0.538735566,0.351653244
11233,Bedford-Stuyvesant (East)/Ocean Hill-Brownsville,40.678302,-73.919931,2456,76,0.030944625407166100,0.362438232,0.255744398
11234,Bergen Beach/Flatlands/Marine Park/Mill Basin,40.60758,-73.910513,2804,75,0.02674750356633380,0.41432027,0.312720525
11235,Brighton Beach/Manhattan Beach/Sheepshead Bay,40.583915,-73.949669,2175,91,0.04183908045977010,0.43398958,0.321900473
11236,Canarsie,40.640004,-73.901459,3208,97,0.030236907730673300,0.342855385,0.2494866
11237,Bushwick/East Williamsburg,40.704153,-73.920883,1362,37,0.027165932452276100,0.544502161,0.354673043
11238,Clinton Hill/Prospect Heights,40.679179,-73.963804,2030,38,0.0187192118226601,0.711353616,0.53128917
11239,East New York,40.64753,-73.882398,508,17,0.03346456692913390,0.547885852,0.437434
11354,Flushing/Murray Hill,40.76863,-73.827229,1421,42,0.029556650246305400,0.732459219,0.497909006
11355,Flushing/Murray Hill/Queensboro Hill,40.751459,-73.821014,2158,124,0.057460611677479100,0.78762873,0.495375364
11356,College Point,40.784867,-73.841495,914,30,0.03282275711159740,0.656464346,0.433292346
11357,Whitestone,40.78639,-73.810964,1311,27,0.020594965675057200,0.657154111,0.498584387
11358,Auburndale/Murray Hill,40.760475,-73.79637,1066,19,0.017823639774859300,0.724118936,0.512996298
11360,Bayside (North),40.78205,-73.7808,597,7,0.011725293132328300,0.693586186,0.552278304
11361,Bayside (North)/Bayside (South),40.763748,-73.772419,767,14,0.018252933507170800,0.725476903,0.525116803
11362,Douglaston-Little Neck,40.756533,-73.736995,503,8,0.015904572564612300,0.705687314,0.549343121
11363,Douglaston-Little Neck,40.772803,-73.746444,176,1,0.005681818181818180,0.749444844,0.591783855
11364,Bayside (South)/Oakland Gardens,40.745279,-73.760578,966,17,0.017598343685300200,0.709165241,0.531650447
11365,Auburndale/Fresh Meadows/Pomonok/Utopia,40.739775,-73.794806,1164,23,0.019759450171821300,0.639657392,0.453633851
11366,Fresh Meadows/Hillcrest,40.728136,-73.784981,334,9,0.02694610778443110,0.603306501,0.444445895
11367,Kew Gardens Hills/Pomonok,40.730383,-73.826297,1177,18,0.015293118096856400,0.542398821,0.389346792
11368,Corona/North Corona,40.749594,-73.852604,3806,113,0.029689963215974800,0.48381761,0.289393093
11369,Airport/East Elmhurst,40.768944,-73.872812,1342,53,0.039493293591654200,0.603143682,0.395915985
11370,Jackson Heights/Rikers Island,40.763466,-73.891021,856,24,0.028037383177570100,0.500651645,0.346570295
11372,Jackson Heights,40.75169,-73.883634,2301,49,0.021295089091699300,0.696028809,0.478766833
11373,Elmhurst,40.738823,-73.8785,2676,62,0.023168908819133000,0.730696372,0.486235009
11374,Rego Park,40.726441,-73.861497,1325,44,0.03320754716981130,0.597424931,0.429434042
11375,Forest Hills,40.720931,-73.846184,2173,32,0.014726184997699000,0.614453117,0.466332316
11377,Woodside,40.744823,-73.90516,2890,90,0.031141868512110700,0.668378187,0.459384196
11378,Maspeth,40.724768,-73.909399,1076,24,0.022304832713754600,0.542448551,0.374526646
11379,Middle Village,40.716758,-73.879597,1105,31,0.028054298642533900,0.543890503,0.405307406
11385,Glendale/Ridgewood,40.701058,-73.890159,2957,89,0.030098072370645900,0.488852306,0.337618733
11411,Cambria Heights,40.694202,-73.735998,614,23,0.03745928338762220,0.396286632,0.293249858
11412,St. Albans,40.698095,-73.758984,1257,31,0.024661893396976900,0.382583893,0.274072397
11413,Laurelton/Rosedale,40.669738,-73.750842,1329,42,0.03160270880361170,0.358734205,0.260121934
11414,Hamilton Beach/Howard Beach/Lindenwood,40.658266,-73.844905,839,18,0.021454112038140600,0.486024228,0.369549545
11415,Kew Gardens,40.708323,-73.828212,555,9,0.016216216216216200,0.592781448,0.434033274
11416,Ozone Park,40.684652,-73.849549,822,38,0.046228710462287100,0.548350522,0.362232655
11417,Ozone Park,40.676457,-73.844522,837,23,0.027479091995221000,0.581572467,0.398969588
11418,Richmond Hill,40.700236,-73.836062,1066,57,0.05347091932457790,0.556099124,0.385253366
11419,Richmond Hill/South Ozone Park,40.688676,-73.822901,1341,59,0.04399701715137960,0.578152675,0.382261689
11420,South Ozone Park,40.673518,-73.817812,1261,59,0.046788263283108600,0.55180031,0.387814167
11421,Woodhaven,40.69405,-73.85867,1271,51,0.04012588512981900,0.550396424,0.368785122
11422,Rosedale,40.660819,-73.73608,1019,22,0.021589793915603500,0.383601248,0.277375617
11423,Hollis/Holliswood,40.71491,-73.767865,909,28,0.030803080308030800,0.553291894,0.412253619
11426,Bellerose,40.736521,-73.722384,520,12,0.023076923076923100,0.60267732,0.456096942
11427,Bellerose/Hollis Hills/Holliswood,40.730915,-73.745611,687,16,0.023289665211062600,0.761562728,0.59780158
11428,Queens Village,40.721015,-73.742206,595,18,0.030252100840336100,0.644941095,0.476258974
11429,Queens Village,40.709772,-73.738731,1013,38,0.03751233958538990,0.393419999,0.284143059
11432,Hillcrest/Jamaica Estates/Jamaica Hills,40.715359,-73.793064,1544,50,0.03238341968911920,0.647116159,0.475278531
11433,Jamaica,40.69823,-73.787095,1227,36,0.029339853300733500,0.443824269,0.303447627
11434,Airport/South Jamaica/Springfield Gardens/St. Albans,40.656866,-73.783386,2196,83,0.0377959927140255,0.382605519,0.278366128
11435,Briarwood/Jamaica,40.701291,-73.809618,1624,54,0.0332512315270936,0.523767739,0.37125666
11436,South Jamaica/South Ozone Park,40.675819,-73.796618,599,20,0.0333889816360601,0.447955018,0.306170792
11691,Edgemere/Far Rockaway,40.60133,-73.761357,1679,58,0.034544371649791500,0.343085398,0.249310099
11692,Arverne/Edgemere,40.592794,-73.792203,679,14,0.020618556701030900,0.38365873,0.280817055
11693,Arverne/Broad Channel,40.603699,-73.821926,452,11,0.024336283185840700,0.433264244,0.333445568
11694,Belle Harbor-Neponsit/Rockaway Park,40.577599,-73.844553,640,9,0.0140625,0.525139314,0.426471647
11697,Breezy Point,40.55907,-73.907199,169,6,0.03550295857988170,0.88974162,0.755146356
